Time,DataX,DataY
16.031,164,159
16.062,164,159
16.109,162,159
16.140,160,159
16.172,160,159
16.203,158,159
16.234,156,159
16.265,156,159
16.265,154,159
16.328,154,159
16.359,152,158
16.390,152,158
16.422,150,158
16.453,146,157
16.484,144,157
16.515,144,157
16.547,142,157
16.578,142,157
16.625,142,157
16.656,140,157
16.687,138,157
16.719,136,157
16.750,134,156
16.781,134,156
16.828,132,157
16.875,130,157
16.922,128,157
16.953,124,155
16.984,123,155
17.015,124,156
17.047,120,155
17.094,120,155
17.140,120,156
17.172,116,155
17.203,115,155
17.234,116,156
17.265,112,155
17.297,111,155
17.344,110,155
17.390,110,156
17.422,106,155
17.453,104,155
17.484,106,156
17.515,102,155
17.547,101,155
17.578,101,155
17.625,100,156
17.672,97,155
17.703,98,156
17.734,94,155
17.765,96,156
17.812,92,155
17.859,90,155
17.906,88,155
17.937,88,155
17.969,86,155
18.000,86,155
18.031,84,155
18.062,82,155
18.109,80,155
18.156,78,155
18.187,78,155
18.219,78,155
18.250,76,155
18.281,76,154
18.312,74,154
18.359,70,153
18.406,72,154
18.437,68,153
18.469,68,153
18.500,68,153
18.531,66,153
18.562,64,152
18.609,64,153
18.656,60,152
18.687,60,152
18.719,58,152
18.750,56,151
18.781,54,151
18.812,54,151
18.859,52,151
18.890,50,151
18.922,49,151
18.953,48,151
18.984,48,151
19.015,46,151
19.047,44,151
19.078,42,151
19.125,41,151
19.172,40,151
19.203,40,151
19.234,38,151
19.265,36,151
19.297,34,150
19.344,34,151
19.390,34,152
19.437,34,153
19.469,33,153
19.500,34,154
19.531,36,155
19.562,36,155
19.609,36,155
19.656,38,156
19.719,38,157
19.750,40,157
19.781,41,158
19.812,42,159
19.844,42,158
19.875,42,158
19.906,44,159
19.937,44,158
19.969,45,158
20.000,44,157
20.031,47,157
20.062,48,157
20.109,49,157
20.156,49,155
20.187,51,156
20.219,52,156
20.250,52,157
20.281,52,157
20.312,51,157
20.344,52,158
20.390,52,158
20.422,51,157
20.453,51,157
20.484,54,159
20.515,54,158
20.547,52,157
20.578,52,157
20.609,52,157
20.640,52,157
20.687,54,157
20.719,56,157
20.750,56,157
20.781,56,156
20.812,56,156
20.844,56,157
20.890,56,157
20.937,56,157
20.969,56,157
21.000,56,157
21.031,56,157
21.062,56,158
21.094,56,157
21.094,56,157
21.172,57,158
21.203,56,157
21.234,56,157
21.265,56,157
21.297,56,157
21.328,56,157
21.359,56,157
21.406,56,157
21.437,56,158
21.469,56,158
21.500,56,158
21.531,56,158
21.562,56,158
21.594,56,158
21.640,56,158
21.687,56,157
21.719,56,157
21.750,56,158
21.781,56,158
21.812,56,158
21.844,56,158
21.890,56,159
21.937,56,158
21.969,56,158
22.000,56,158
22.031,56,158
22.062,54,157
22.094,56,158
22.094,56,158
22.172,54,158
22.203,54,158
22.234,54,159
22.265,54,159
22.297,54,159
22.328,54,159
22.359,54,159
22.406,54,159
22.437,52,158
22.469,52,159
22.500,52,159
22.531,52,159
22.562,52,159
22.594,52,159
22.625,52,159
22.672,52,159
22.703,52,159
22.734,52,159
22.765,52,158
22.797,52,158
22.828,52,158
22.859,50,157
22.890,50,157
22.937,50,157
22.969,48,157
23.000,48,157
23.031,48,157
23.062,48,157
23.094,48,157
23.125,48,157
23.172,48,157
23.203,48,157
23.234,48,158
23.265,48,158
23.297,48,157
23.328,46,157
23.359,46,157
23.390,47,157
23.437,46,157
23.469,46,157
23.500,47,158
23.531,47,158
23.562,46,158
23.594,46,158
23.625,46,158
23.672,44,157
23.703,44,157
23.734,43,157
23.765,44,157
23.797,42,157
23.828,42,157
23.859,41,157
23.890,41,157
23.937,41,157
23.969,40,157
24.000,40,157
24.031,40,157
24.062,40,157
24.094,40,157
24.125,39,156
24.156,39,156
24.187,38,156
24.219,37,155
24.250,37,155
24.281,37,155
24.312,38,155
24.344,37,154
24.375,38,154
24.406,37,154
24.453,36,153
24.484,37,153
24.515,35,152
24.547,34,151
24.578,33,150
24.609,33,149
24.640,33,148
24.687,33,149
24.719,32,149
24.750,30,149
24.781,30,150
24.812,29,151
24.844,30,152
24.875,28,152
24.906,28,153
24.953,27,153
24.984,26,153
25.015,26,154
25.047,26,154
25.078,26,154
25.109,26,154
25.140,26,154
